source_row,set,bin,k,Q2,xB,t,phi,dsig,dsig_err,delsig,delsig_err,exp d4sig (nb/Gev^4),d4sig_stat,d4sig_sys+,d4sig_sys-,exp del4sig (nb/GeV^4),del4sig_stat,del4sig_sys+,del4sig_sys-,ReH,ReHt,ReE,ReEt,ImH,ImHt,ImE,ImEt,DVCS,experiment,link,flag_xsec_systematic_missing,flag_xsec_diff_systematic_missing,xsec_total_err_recomputed,xsec_diff_total_err_recomputed,xsec_systematic_ratio,xsec_diff_systematic_ratio,flag_bad_kinematics,flag_xsec_nonpositive_or_missing,flag_xsec_error_nonpositive_or_missing,flag_xsec_systematic_anomaly,flag_xsec_diff_missing,flag_xsec_diff_error_nonpositive_or_missing,flag_xsec_diff_systematic_anomaly,flag_exact_duplicate,phi_centered_rad,local_xsec_prediction,local_xsec_pull,local_xsec_diff_prediction,local_xsec_diff_pull,local_xsec_multiplicative_ratio,flag_local_xsec_catastrophic_outlier,flag_local_xsec_diff_catastrophic_outlier,exclude_reason,common_valid
358,19,0,4.455,1.98,0.356,-0.182,7.5,0.183683363,0.011235134,0.0,0.0,0.1824,0.0096,0.0058368,0.0058368,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.01123513392176524,0.0,0.031999999999999994,0.0,False,False,False,False,False,True,False,False,0.1308996938995747,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
359,19,1,4.455,1.98,0.356,-0.182,22.5,0.179209318,0.011250123,0.0,0.0,0.1833,0.0096,0.0058656,0.0058656,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.011250122815329618,0.0,0.032,0.0,False,False,False,False,False,True,False,False,0.39269908169872414,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
360,19,2,4.455,1.98,0.356,-0.182,37.5,0.164091507,0.01036871,0.0,0.0,0.1609,0.009,0.0051488,0.0051488,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.01036870972879461,0.0,0.032,0.0,False,False,False,False,False,True,False,False,0.6544984694978736,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
361,19,3,4.455,1.98,0.356,-0.182,52.5,0.139579656,0.009806028,0.0,0.0,0.1528,0.0085,0.0048896,0.0048896,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.009806028154150895,0.0,0.032,0.0,False,False,False,False,False,True,False,False,0.9162978572970231,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
362,19,4,4.455,1.98,0.356,-0.182,67.5,0.14788378,0.009269163,0.0,0.0,0.1463,0.008,0.0046816,0.0046816,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.009269162775569323,0.0,0.032,0.0,False,False,False,False,False,True,False,False,1.1780972450961724,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
363,19,5,4.455,1.98,0.356,-0.182,82.5,0.120450504,0.008164522,0.0,0.0,0.1203,0.0072,0.0038496,0.0038496,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.008164522041124025,0.0,0.032,0.0,False,False,False,False,False,True,False,False,1.4398966328953218,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
364,19,6,4.455,1.98,0.356,-0.182,97.5,0.104874945,0.007642391,0.0,0.0,0.109,0.0068,0.003488,0.003488,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.007642391248817349,0.0,0.032,0.0,False,False,False,False,False,True,False,False,1.7016960206944713,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
365,19,7,4.455,1.98,0.356,-0.182,112.5,0.084668202,0.00647553,0.0,0.0,0.0834,0.0059,0.0026688,0.0026688,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006475530359746605,0.0,0.031999999999999994,0.0,False,False,False,False,False,True,False,False,1.9634954084936207,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
366,19,8,4.455,1.98,0.356,-0.182,127.5,0.085001077,0.006371241,0.0,0.0,0.0824,0.0058,0.0026368,0.0026368,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.0063712411852008865,0.0,0.032,0.0,False,False,False,False,False,True,False,False,2.2252947962927703,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
367,19,9,4.455,1.98,0.356,-0.182,142.5,0.091804127,0.006319867,0.0,0.0,0.0853,0.0057,0.0027296,0.0027296,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006319866783406119,0.0,0.032,0.0,False,False,False,False,False,True,False,False,2.4870941840919194,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
368,19,10,4.455,1.98,0.356,-0.182,157.5,0.074807357,0.005887431,0.0,0.0,0.0733,0.0054,0.0023456,0.0023456,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.005887430624644336,0.0,0.032,0.0,False,False,False,False,False,True,False,False,2.748893571891069,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
369,19,11,4.455,1.98,0.356,-0.182,172.5,0.084485463,0.005815438,0.0,0.0,0.0748,0.0053,0.0023936,0.0023936,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.00581543815718128,0.0,0.032,0.0,False,False,False,False,False,True,False,False,3.0106929596902186,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
370,19,12,4.455,1.98,0.356,-0.182,187.5,0.064024086,0.005908016,0.0,0.0,0.0749,0.0054,0.0023968,0.0023968,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.005908015761658054,0.0,0.03200000000000001,0.0,False,False,False,False,False,True,False,False,-3.0106929596902186,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
371,19,13,4.455,1.98,0.356,-0.182,202.5,0.07017459,0.00580234,0.0,0.0,0.0738,0.0053,0.0023616,0.0023616,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.005802340438133564,0.0,0.032,0.0,False,False,False,False,False,True,False,False,-2.748893571891069,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
372,19,14,4.455,1.98,0.356,-0.182,217.5,0.086812686,0.006206182,0.0,0.0,0.0836,0.0056,0.0026752,0.0026752,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006206182001843001,0.0,0.032,0.0,False,False,False,False,False,True,False,False,-2.4870941840919194,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
373,19,15,4.455,1.98,0.356,-0.182,232.5,0.087984241,0.006340746,0.0,0.0,0.0868,0.0057,0.0027776,0.0027776,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006340746151676473,0.0,0.032,0.0,False,False,False,False,False,True,False,False,-2.2252947962927703,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
374,19,16,4.455,1.98,0.356,-0.182,247.5,0.080673896,0.006583788,0.0,0.0,0.0847,0.006,0.0027104,0.0027104,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006583788283351767,0.0,0.032,0.0,False,False,False,False,False,True,False,False,-1.9634954084936207,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
375,19,17,4.455,1.98,0.356,-0.182,262.5,0.094972606,0.007178461,0.0,0.0,0.1016,0.0064,0.0032512,0.0032512,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.007178460938112013,0.0,0.032,0.0,False,False,False,False,False,True,False,False,-1.7016960206944713,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
376,19,18,4.455,1.98,0.356,-0.182,277.5,0.123009172,0.008598276,0.0,0.0,0.1314,0.0075,0.0042048,0.0042048,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.008598275585255452,0.0,0.032,0.0,False,False,False,False,False,True,False,False,-1.4398966328953218,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
377,19,19,4.455,1.98,0.356,-0.182,292.5,0.13802491,0.009453445,0.0,0.0,0.147,0.0082,0.004704,0.004704,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.009453444663190239,0.0,0.032,0.0,False,False,False,False,False,True,False,False,-1.1780972450961724,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
378,19,20,4.455,1.98,0.356,-0.182,307.5,0.167861054,0.010056505,0.0,0.0,0.1629,0.0086,0.0052128,0.0052128,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.010056504553770163,0.0,0.032,0.0,False,False,False,False,False,True,False,False,-0.9162978572970231,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
379,19,21,4.455,1.98,0.356,-0.182,322.5,0.160801051,0.010600415,0.0,0.0,0.1699,0.0091,0.0054368,0.0054368,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.010600414814524948,0.0,0.032,0.0,False,False,False,False,False,True,False,False,-0.6544984694978736,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
380,19,22,4.455,1.98,0.356,-0.182,337.5,0.191381405,0.011671566,0.0,0.0,0.1981,0.0098,0.0063392,0.0063392,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.011671566160545894,0.0,0.032,0.0,False,False,False,False,False,True,False,False,-0.39269908169872414,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
381,19,23,4.455,1.98,0.356,-0.182,352.5,0.226193045,0.011481279,0.0,0.0,0.1968,0.0096,0.0062976,0.0062976,0.0,0.0,0.0,0.0,-2.52449,1.35299,2.18492,128.22832,3.23116,1.51011,0,0,0.021667503,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.011481278925276573,0.0,0.032,0.0,False,False,False,False,False,True,False,False,-0.1308996938995747,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
382,20,0,4.455,1.99,0.357,-0.242,7.5,0.264077687,0.015207598,0.0,0.0,0.2466,0.013,0.0078912,0.0078912,0.0,0.0,0.0,0.0,-2.51897,1.15367,2.03268,97.75515,2.90074,1.42655,0,0,0.01866535,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.015207598016780953,0.0,0.031999999999999994,0.0,False,False,False,False,False,True,False,False,0.1308996938995747,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
383,20,1,4.455,1.99,0.357,-0.242,22.5,0.194326868,0.013522491,0.0,0.0,0.1948,0.012,0.0062336,0.0062336,0.0,0.0,0.0,0.0,-2.51897,1.15367,2.03268,97.75515,2.90074,1.42655,0,0,0.01866535,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.013522491226101795,0.0,0.032,0.0,False,False,False,False,False,True,False,False,0.39269908169872414,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
384,20,2,4.455,1.99,0.357,-0.242,37.5,0.169002387,0.01148005,0.0,0.0,0.1762,0.01,0.0056384,0.0056384,0.0,0.0,0.0,0.0,-2.51897,1.15367,2.03268,97.75515,2.90074,1.42655,0,0,0.01866535,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.011480050285604153,0.0,0.032,0.0,False,False,False,False,False,True,False,False,0.6544984694978736,,,,,,False,False,xsec_diff_error_nonpositive_or_missing,False
