source_row,set,bin,k,q_squared,x_b,t,phi_deg,phi,unp_beam_unp_target_xsec,unp_beam_unp_target_xsec_err,unp_beam_unp_target_xsec_errstat,unp_beam_unp_target_xsec_errsyst_plus,unp_beam_unp_target_xsec_errsyst_minus,xsec_diff,xsec_diff_err,xsec_diff_errstat,xsec_diff_errsyst_plus,xsec_diff_errsyst_minus,bsa_from_central_values,experiment_year,experiment,link,ReH,ReHt,ReE,ReEt,ImH,ImHt,ImE,ImEt,DVCS
122,7,14,5.55,1.75,0.361,-0.363,217.5,-2.4870941840919194,0.041,0.00327434634698286,0.003,0.001312,0.001312,-0.00317,0.0030017145223355268,0.003,0.00010144,0.00010144,-0.0773170731707317,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.43459,0.83744,1.77036,64.96628,2.34835,1.2691,0,0,0.023768697
123,7,15,5.55,1.75,0.361,-0.363,232.5,-2.2252947962927703,0.0365,0.0029418062478688157,0.0027,0.001168,0.001168,0.000798,0.0029001124266648695,0.0029,2.5536e-05,2.5536e-05,0.021863013698630137,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.43459,0.83744,1.77036,64.96628,2.34835,1.2691,0,0,0.023768697
124,7,16,5.55,1.75,0.361,-0.363,247.5,-1.9634954084936207,0.041,0.0031829772226643406,0.0029,0.001312,0.001312,-0.00175,0.0031005057651938015,0.0031,5.6e-05,5.6e-05,-0.04268292682926829,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.43459,0.83744,1.77036,64.96628,2.34835,1.2691,0,0,0.023768697
125,7,17,5.55,1.75,0.361,-0.363,262.5,-1.7016960206944713,0.045,0.0033277019097268912,0.003,0.00144,0.00144,-0.00648,0.0032067114259939264,0.0032,0.00020736,0.00020736,-0.144,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.43459,0.83744,1.77036,64.96628,2.34835,1.2691,0,0,0.023768697
126,7,18,5.55,1.75,0.361,-0.363,277.5,-1.4398966328953218,0.0503,0.0035820123059531776,0.0032,0.0016096,0.0016096,-0.00696,0.0033075072484274313,0.0033,0.00022272,0.00022272,-0.13836978131212724,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.43459,0.83744,1.77036,64.96628,2.34835,1.2691,0,0,0.023768697
127,7,19,5.55,1.75,0.361,-0.363,292.5,-1.1780972450961724,0.0527,0.003529014729354356,0.0031,0.0016864,0.0016864,-0.00459,0.003203369122408468,0.0032,0.00014688,0.00014688,-0.0870967741935484,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.43459,0.83744,1.77036,64.96628,2.34835,1.2691,0,0,0.023768697
128,7,20,5.55,1.75,0.361,-0.363,307.5,-0.9162978572970231,0.0564,0.0036738675860732927,0.0032,0.0018048,0.0018048,-0.00966,0.0034140233119297823,0.0034,0.00030912,0.00030912,-0.17127659574468085,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.43459,0.83744,1.77036,64.96628,2.34835,1.2691,0,0,0.023768697
129,7,21,5.55,1.75,0.361,-0.363,322.5,-0.6544984694978736,0.0703,0.004160612954842111,0.0035,0.0022496,0.0022496,-0.013,0.0037233125036719656,0.0037,0.000416,0.000416,-0.18492176386913228,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.43459,0.83744,1.77036,64.96628,2.34835,1.2691,0,0,0.023768697
130,7,22,5.55,1.75,0.361,-0.363,337.5,-0.39269908169872414,0.0744,0.004827857562107647,0.0042,0.0023808,0.0023808,-0.00622,0.004404499622159139,0.0044,0.00019904,0.00019904,-0.08360215053763441,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.43459,0.83744,1.77036,64.96628,2.34835,1.2691,0,0,0.023768697
131,7,23,5.55,1.75,0.361,-0.363,352.5,-0.1308996938995747,0.0867,0.005893835369265076,0.0052,0.0027744,0.0027744,-0.0063,0.005103983009376109,0.0051,0.0002016,0.0002016,-0.0726643598615917,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.43459,0.83744,1.77036,64.96628,2.34835,1.2691,0,0,0.023768697
132,8,0,5.55,1.98,0.357,-0.182,7.5,0.1308996938995747,0.0924,0.00563761174966847,0.0048,0.0029568,0.0029568,0.000828,0.006700052390691882,0.0067,2.6496e-05,2.6496e-05,0.008961038961038961,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.5212,1.35232,2.18492,127.79136,3.22355,1.5071,0,0,0.023289954
133,8,1,5.55,1.98,0.357,-0.182,22.5,0.39269908169872414,0.0928,0.005559543520829745,0.0047,0.0029696,0.0029696,0.000566,0.00650002523414671,0.0065,1.8112e-05,1.8112e-05,0.006099137931034483,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.5212,1.35232,2.18492,127.79136,3.22355,1.5071,0,0,0.023289954
