replica,seed,xsec_nonpositive_redraw_count,xsec_replica_balanced_chi2,xsec_replica_set_chi2,xsec_replica_point_chi2,diff_replica_balanced_chi2,diff_replica_set_chi2,diff_replica_point_chi2,cff_balanced_joint_chi2,cff_balanced_xsec_chi2,cff_balanced_diff_chi2,cff_point_joint_chi2,cff_point_xsec_chi2,cff_point_diff_chi2,cff_set_joint_chi2,elapsed_sec
11,20271906,11,1.9562098979949951,2.0052905082702637,2.0028340816497803,1.8164764642715454,1.9256510734558105,1.9198373556137085,0.517501950263977,0.6100590229034424,0.4249448776245117,0.35780173540115356,0.46543198823928833,0.2501715123653412,0.37454813718795776,182.37906122207642
12,20272915,25,2.0075175762176514,2.006411552429199,2.0114641189575195,1.7336124181747437,1.841414451599121,1.8408552408218384,0.5408342480659485,0.5851165056228638,0.4965519905090332,0.3723207116127014,0.4552636742591858,0.28937774896621704,0.3943566679954529,196.77289819717407
13,20273924,28,1.9219810962677002,1.9580026865005493,1.9573894739151,1.7129676342010498,1.7915751934051514,1.7751750946044922,0.5464605093002319,0.596821665763855,0.49609941244125366,0.38329970836639404,0.468142032623291,0.29845738410949707,0.4008733034133911,204.51842665672302
14,20274933,25,1.9375476837158203,1.9964922666549683,1.9847333431243896,1.7348105907440186,1.8363447189331055,1.8310717344284058,0.5564384460449219,0.6355983018875122,0.47727856040000916,0.3932539224624634,0.48185351490974426,0.3046543598175049,0.41003894805908203,211.90118217468262
15,20275942,12,1.9829457998275757,2.024453639984131,2.0325331687927246,1.7795482873916626,1.8549866676330566,1.8550490140914917,0.5460711717605591,0.5968267917633057,0.4953156113624573,0.37495535612106323,0.46326711773872375,0.2866435945034027,0.3906933665275574,226.25021290779114
16,20276951,22,1.97995924949646,2.0238208770751953,2.0259926319122314,1.6911159753799438,1.7702281475067139,1.7667638063430786,0.5660260319709778,0.5813606977462769,0.5506913661956787,0.3808591961860657,0.4436703026294708,0.31804805994033813,0.4017738699913025,233.05637788772583
17,20277960,28,1.9576728343963623,2.0046868324279785,2.004695415496826,1.7442951202392578,1.850606918334961,1.847246527671814,0.5272992849349976,0.590126633644104,0.4644719660282135,0.36392927169799805,0.47064289450645447,0.2572156488895416,0.3825194239616394,246.6068890094757
18,20278969,15,2.006591320037842,2.042004346847534,2.0473878383636475,1.659658432006836,1.757437825202942,1.7536890506744385,0.5214460492134094,0.5803388357162476,0.4625532627105713,0.35724586248397827,0.43694764375686646,0.2775440812110901,0.37289959192276,254.78667831420898
19,20279978,28,1.9320032596588135,1.9777954816818237,1.9817497730255127,1.6985108852386475,1.7888708114624023,1.7871965169906616,0.5842597484588623,0.6144946813583374,0.5540248155593872,0.39144814014434814,0.46881476044654846,0.3140815198421478,0.4103713035583496,264.5053210258484
20,20280987,24,1.988824486732483,2.0518674850463867,2.045450448989868,1.7668883800506592,1.8385568857192993,1.8353033065795898,0.5391098856925964,0.6170012950897217,0.4612185060977936,0.382529079914093,0.48855364322662354,0.2765045464038849,0.40140199661254883,276.8251750469208
21,20281996,15,2.0151119232177734,2.038998603820801,2.032905101776123,1.7248796224594116,1.82390296459198,1.8123506307601929,0.5746647119522095,0.6153304576873779,0.533998966217041,0.3822939991950989,0.48105183243751526,0.2835361957550049,0.4037521183490753,283.3677616119385
22,20283005,25,1.894239068031311,1.9391086101531982,1.9414618015289307,1.7298610210418701,1.806367039680481,1.7893825769424438,0.5947288274765015,0.6696555018424988,0.5198020935058594,0.4025939702987671,0.5055637955665588,0.29962414503097534,0.4234381318092346,290.43237233161926
23,20284014,21,1.9264166355133057,1.9982980489730835,1.9878692626953125,1.6760311126708984,1.7838013172149658,1.7798610925674438,0.5693421363830566,0.6122294664382935,0.5264548063278198,0.3907933235168457,0.4763464033603668,0.3052402138710022,0.4103919267654419,300.04775500297546
24,20285023,24,1.9920742511749268,2.0379128456115723,2.0448365211486816,1.6709234714508057,1.7519629001617432,1.7477055788040161,0.5426607131958008,0.6082741618156433,0.47704726457595825,0.3688367009162903,0.4644884169101715,0.27318498492240906,0.3912590742111206,306.92632246017456
25,20286032,23,1.9832534790039062,1.9934983253479004,1.9863046407699585,1.8159065246582031,1.8704004287719727,1.8580811023712158,0.577431321144104,0.6268419027328491,0.5280207395553589,0.3774624764919281,0.46387580037117004,0.29104915261268616,0.3987079858779907,317.4131760597229
26,20287041,21,2.0427355766296387,2.063326835632324,2.050961494445801,1.7643613815307617,1.8330525159835815,1.8267157077789307,0.5327404737472534,0.5988122224807739,0.4666686952114105,0.3688898980617523,0.45123350620269775,0.2865462899208069,0.3867639899253845,324.05596351623535
27,20288050,21,1.9399884939193726,2.0085949897766113,1.9984995126724243,1.7205734252929688,1.8169368505477905,1.8114099502563477,0.537447452545166,0.5983585119247437,0.47653645277023315,0.3677496314048767,0.4590259790420532,0.2764732539653778,0.3848242163658142,330.6496551036835
28,20289059,17,1.9246952533721924,1.9489716291427612,1.9537746906280518,1.687946081161499,1.7698862552642822,1.7696627378463745,0.5351163148880005,0.5946266055107117,0.4756060540676117,0.36621731519699097,0.4496329426765442,0.28280168771743774,0.3831602931022644,336.9654850959778
29,20290068,26,1.9520149230957031,1.9991750717163086,2.001319408416748,1.6868963241577148,1.7793347835540771,1.7637990713119507,0.5433366298675537,0.6147041320800781,0.4719691872596741,0.38502246141433716,0.4723310172557831,0.29771390557289124,0.40415751934051514,343.44328117370605
30,20291077,21,1.9797769784927368,2.01690411567688,2.0246784687042236,1.672530174255371,1.756840705871582,1.7507785558700562,0.5651414394378662,0.6023551821708679,0.5279276371002197,0.38143467903137207,0.45841559767723083,0.3044537305831909,0.40478289127349854,350.8263375759125
31,20292086,18,1.9950224161148071,2.015233278274536,2.023757219314575,1.7296979427337646,1.8165216445922852,1.8082681894302368,0.5766640901565552,0.6367250680923462,0.5166030526161194,0.3776501417160034,0.4798054099082947,0.27549484372138977,0.3982275128364563,357.0542461872101
32,20293095,19,1.9131183624267578,1.941920280456543,1.9451937675476074,1.6843950748443604,1.798906683921814,1.7997045516967773,0.5379892587661743,0.5770060420036316,0.49897250533103943,0.35547420382499695,0.43576663732528687,0.27518177032470703,0.37427061796188354,368.26703357696533
33,20294104,22,2.0458059310913086,2.091388702392578,2.0890114307403564,1.7418396472930908,1.833773136138916,1.8298180103302002,0.5562701225280762,0.6044453382492065,0.5080949664115906,0.3721609115600586,0.45955178141593933,0.28477001190185547,0.393960177898407,379.2037868499756
34,20295113,19,2.006402015686035,2.0200912952423096,2.0126280784606934,1.7530368566513062,1.8256641626358032,1.814502477645874,0.5386768579483032,0.609289288520813,0.4680643677711487,0.3816307485103607,0.4734162986278534,0.28984519839286804,0.40134453773498535,386.0210556983948
35,20296122,15,1.9548858404159546,1.971718430519104,1.971061110496521,1.7447189092636108,1.8439608812332153,1.840095043182373,0.5564920902252197,0.5779145956039429,0.5350695848464966,0.3607349395751953,0.4325617253780365,0.2889081537723541,0.38367944955825806,392.71056389808655
36,20297131,20,1.962683916091919,1.9853800535202026,1.9790384769439697,1.6625699996948242,1.7743964195251465,1.7656292915344238,0.5783523917198181,0.6438741683959961,0.5128306150436401,0.40186017751693726,0.4889356195926666,0.3147847056388855,0.42129313945770264,399.0877821445465
37,20298140,22,1.9735534191131592,1.9899898767471313,1.9927072525024414,1.7530463933944702,1.8495097160339355,1.8403215408325195,0.5308847427368164,0.578274130821228,0.4834953844547272,0.37123727798461914,0.44856056571006775,0.29391399025917053,0.3891182541847229,405.46153235435486
38,20299149,18,1.935626745223999,1.9927711486816406,2.0037600994110107,1.7723060846328735,1.8621952533721924,1.866565465927124,0.6107094287872314,0.6524416208267212,0.5689771771430969,0.3973757028579712,0.4843641221523285,0.3103873133659363,0.42082101106643677,411.8472900390625
39,20300158,21,1.937051773071289,2.007744073867798,2.004711866378784,1.706176996231079,1.7975538969039917,1.7833811044692993,0.6068669557571411,0.6281784772872925,0.5855554342269897,0.39396530389785767,0.46434375643730164,0.3235868811607361,0.4157378673553467,418.4450397491455
40,20301167,18,1.925176978111267,1.9512211084365845,1.9498012065887451,1.7189359664916992,1.7982631921768188,1.7922024726867676,0.6012952923774719,0.6564278602600098,0.5461627244949341,0.4089999794960022,0.5130927562713623,0.3049071729183197,0.4283550977706909,424.8545117378235
41,20302176,18,1.985952615737915,2.0177741050720215,2.0172688961029053,1.6251853704452515,1.7080000638961792,1.7031930685043335,0.5238829851150513,0.6246699690818787,0.4230960011482239,0.37145736813545227,0.47535428404808044,0.2675604522228241,0.38938775658607483,431.17432928085327
42,20303185,27,1.9883873462677002,2.0055665969848633,2.013601303100586,1.650902509689331,1.7554630041122437,1.7537463903427124,0.4960494041442871,0.560274064540863,0.43182477355003357,0.36194443702697754,0.4536319673061371,0.2702569365501404,0.3792998790740967,437.71368622779846
43,20304194,18,1.9413915872573853,1.9716678857803345,1.9731956720352173,1.7558505535125732,1.8719431161880493,1.8708434104919434,0.5406666994094849,0.6081140637397766,0.4732193946838379,0.37258395552635193,0.46597370505332947,0.2791942059993744,0.3923182487487793,444.8032479286194
44,20305203,15,2.041635036468506,2.065934181213379,2.0624454021453857,1.7532711029052734,1.8357561826705933,1.8362537622451782,0.5597923994064331,0.5841772556304932,0.5354074835777283,0.3745056390762329,0.4501895010471344,0.2988217771053314,0.39531177282333374,451.932603597641
45,20306212,22,1.9312975406646729,1.9924776554107666,1.9909565448760986,1.7046432495117188,1.7702430486679077,1.766519546508789,0.5674391388893127,0.619674026966095,0.5152042508125305,0.38674426078796387,0.47635769844055176,0.2971307933330536,0.4067566990852356,459.0098910331726
46,20307221,28,2.0006325244903564,2.0496327877044678,2.0551249980926514,1.6402908563613892,1.7264190912246704,1.71951425075531,0.5706248879432678,0.631123960018158,0.5101258158683777,0.3824545741081238,0.47894206643104553,0.28596705198287964,0.39971214532852173,465.65727615356445
47,20308230,23,2.0747926235198975,2.1117241382598877,2.103473663330078,1.7383655309677124,1.8281384706497192,1.8201996088027954,0.5485788583755493,0.6329904794692993,0.4641672670841217,0.38341426849365234,0.4897574186325073,0.277071088552475,0.40462684631347656,471.8147621154785
48,20309239,21,1.9115207195281982,1.949074387550354,1.9520270824432373,1.7445545196533203,1.8174846172332764,1.8139926195144653,0.5421961545944214,0.5976797342300415,0.4867125451564789,0.3738333582878113,0.4508814215660095,0.29678526520729065,0.39277875423431396,478.44712686538696
49,20310248,19,1.936697006225586,1.9889355897903442,1.9962407350540161,1.7598159313201904,1.8183329105377197,1.810713529586792,0.6002395153045654,0.6547242403030396,0.5457547903060913,0.40027061104774475,0.5041040182113647,0.29643720388412476,0.4235280156135559,485.19479060173035
