replica,seed,xsec_nonpositive_redraw_count,xsec_replica_balanced_chi2,xsec_replica_set_chi2,xsec_replica_point_chi2,diff_replica_balanced_chi2,diff_replica_set_chi2,diff_replica_point_chi2,cff_balanced_joint_chi2,cff_balanced_xsec_chi2,cff_balanced_diff_chi2,cff_point_joint_chi2,cff_point_xsec_chi2,cff_point_diff_chi2,cff_set_joint_chi2,elapsed_sec
0,20260807,17,1.9365628957748413,1.9998606443405151,1.9939184188842773,1.747183084487915,1.820845127105713,1.8149669170379639,0.6048976182937622,0.6822262406349182,0.5275689959526062,0.4057258367538452,0.5169081687927246,0.29454347491264343,0.42821261286735535,7.117963790893555
1,20261816,26,1.9790395498275757,2.0223746299743652,2.019191026687622,1.6686618328094482,1.7477376461029053,1.7435152530670166,0.5616369247436523,0.5958391427993774,0.5274347066879272,0.37583792209625244,0.4599534571170807,0.2917224168777466,0.3937109708786011,76.21851968765259
2,20262825,24,1.9698594808578491,2.0349509716033936,2.019582986831665,1.7216131687164307,1.8006327152252197,1.7975845336914062,0.562124490737915,0.6435866951942444,0.4806622862815857,0.4008697271347046,0.5029423832893372,0.2987971007823944,0.4230360984802246,94.31205868721008
3,20263834,30,2.005948781967163,2.066556453704834,2.058232069015503,1.7318280935287476,1.8106669187545776,1.8053489923477173,0.5711389780044556,0.6632049679756165,0.4790729582309723,0.39291417598724365,0.4965156018733978,0.2893127501010895,0.4119076132774353,106.02656483650208
4,20264843,20,1.8778969049453735,1.897972583770752,1.9011893272399902,1.7699304819107056,1.8466650247573853,1.8446284532546997,0.5462467670440674,0.5909020900726318,0.5015915036201477,0.37959039211273193,0.4600275456905365,0.29915323853492737,0.3966330289840698,117.30525922775269
5,20265852,13,1.8821699619293213,1.9428664445877075,1.9486720561981201,1.74749755859375,1.8154648542404175,1.817456603050232,0.5785645842552185,0.6353537440299988,0.5217754244804382,0.39247027039527893,0.486232191324234,0.29870834946632385,0.4152533710002899,124.20493245124817
6,20266861,25,1.9718475341796875,1.984518051147461,1.9863321781158447,1.7448676824569702,1.8217267990112305,1.8146154880523682,0.5249122977256775,0.5962660312652588,0.4535585939884186,0.368760883808136,0.4593638479709625,0.27815791964530945,0.38942986726760864,131.46607398986816
7,20267870,18,1.955156683921814,1.9845143556594849,1.96550714969635,1.7234748601913452,1.8003944158554077,1.7922053337097168,0.6212480068206787,0.6430786848068237,0.5994173288345337,0.3891558349132538,0.48031798005104065,0.2979936897754669,0.41681718826293945,146.1135289669037
8,20268879,17,1.925248146057129,1.9578778743743896,1.9576038122177124,1.7261884212493896,1.7997015714645386,1.7976815700531006,0.581430196762085,0.6318761110305786,0.5309842824935913,0.3926548361778259,0.48160579800605774,0.3037038743495941,0.41404813528060913,153.59492921829224
9,20269888,32,1.9720321893692017,2.0151145458221436,2.019003391265869,1.7884941101074219,1.8813804388046265,1.8729439973831177,0.5267957448959351,0.5846813917160034,0.4689101278781891,0.3622785806655884,0.4485214352607727,0.27603572607040405,0.3807438313961029,163.12096786499023
10,20270897,21,2.0107245445251465,2.071467876434326,2.0656614303588867,1.6946624517440796,1.777529239654541,1.7714426517486572,0.523353099822998,0.6196069717407227,0.4270992875099182,0.35984817147254944,0.46573033928871155,0.25396600365638733,0.3757532238960266,175.19056463241577
