stage,epoch,chi2_per_point,mean_set_chi2,max_set_chi2,data_loss,point_mean_loss,length_loss,curvature_loss,worst_length_loss,worst_curvature_loss,amplitude_l2,lr,elapsed_sec
2,1,1.1065847873687744,1.1285730600357056,3.4531805515289307,0.9028944969177246,1.1048718690872192,0.012109722942113876,0.14591242372989655,0.022149542346596718,0.3677339553833008,0.04425398260354996,2e-05,2.9968056678771973
2,20,1.1225529909133911,1.1456599235534668,3.5214579105377197,0.9232729077339172,1.1222341060638428,0.011252234689891338,0.10238232463598251,0.019071949645876884,0.2370178997516632,0.04233843833208084,2e-05,23.276140451431274
2,40,1.1282552480697632,1.1515092849731445,3.568781852722168,0.9302153587341309,1.1280543804168701,0.01087241806089878,0.08031728118658066,0.01834464818239212,0.17929208278656006,0.04186109080910683,2e-05,44.525386810302734
2,60,1.1307872533798218,1.1541999578475952,3.5843470096588135,0.9331790208816528,1.1307121515274048,0.01066325418651104,0.06871836632490158,0.018063776195049286,0.1494133472442627,0.0415586456656456,2e-05,63.77333068847656
2,80,1.13169264793396,1.155137538909912,3.5836286544799805,0.9343418478965759,1.131682276725769,0.010553992353379726,0.06346974521875381,0.01794791966676712,0.1360730677843094,0.04132577031850815,5e-06,82.89087319374084
2,100,1.131898045539856,1.1553447246551514,3.5813937187194824,0.9346189498901367,1.13188898563385,0.01052697654813528,0.06204693391919136,0.01791984960436821,0.1322658360004425,0.04127941280603409,5e-06,103.01194190979004
2,120,1.1319516897201538,1.155396819114685,3.5803985595703125,0.9347010254859924,1.1319485902786255,0.010519239120185375,0.06151672825217247,0.01791197992861271,0.13086481392383575,0.041274406015872955,1.6000000000000001e-06,123.00128197669983
