model,count,median,mean,max
H2,155,1.9835660924774987,2.273116964279906,7.707708565181585
H_plus_E4,155,583.6913826410823,855.7648729666647,4814.702750667197
H_plus_E_plus_Htilde6,155,23726.27088782998,42902.46914873874,548460.2803501632
H_plus_Htilde4,155,112.58262087591093,147.44791436390494,591.8095732131649
