set,experiment,k,q_squared,x_b,t,ReH,ImH,ReH_algorithmic_std,ImH_algorithmic_std,xsec_chi2,diff_chi2,joint_chi2
97,e1-DVCS1 Hall B,5.75,2.58,0.304,-0.20000000000000004,0.19007263,3.4567149,0.034089535,0.08259492,0.5110200724085341,0.07256572004769733,0.2917928962281157
98,e1-DVCS1 Hall B,5.75,2.58,0.305,-0.26,2.0862126,4.0098343,0.16261463,0.16263616,0.03238822527472429,0.09492572893846492,0.0636569771065946
99,e1-DVCS1 Hall B,5.75,2.5799999999999996,0.30499999999999994,-0.33999999999999997,4.2444224,3.8003626,0.4653718,0.38074508,0.15335907356531556,0.11264922786031423,0.1330041507128149
100,e1-DVCS1 Hall B,5.75,2.5799999999999996,0.30499999999999994,-0.4499999999999999,4.822535,3.0806932,0.07530024,0.10788257,0.09351832577773479,0.0981864465266613,0.09585238615219804
107,e1-DVCS1 Hall B,5.75,2.78,0.335,-0.20000000000000004,-2.2307596,4.4162,0.29308334,0.026492989,0.5098735155273507,0.017070607139934885,0.2634720613336428
108,e1-DVCS1 Hall B,5.75,2.78,0.335,-0.26,-0.16472349,3.9846482,0.16272911,0.16657348,0.008992169452871072,0.05805491209832895,0.03352354077560001
109,e1-DVCS1 Hall B,5.75,2.78,0.335,-0.34,1.5250106,4.243561,0.21861464,0.2996887,0.02279300282710171,0.127540411224803,0.07516670702595235
110,e1-DVCS1 Hall B,5.75,2.7800000000000002,0.335,-0.44999999999999984,2.9187639,3.5203438,0.4121816,0.06112792,0.09116887934813324,0.13298039399258602,0.11207463667035963
116,e1-DVCS1 Hall B,5.75,2.9699999999999998,0.36500000000000005,-0.25999999999999995,-1.0028038,5.0266604,0.082822874,0.087330736,0.07742197810428147,0.0870388373035977,0.08223040770393958
117,e1-DVCS1 Hall B,5.75,2.97,0.365,-0.34,-0.38728714,4.0614567,0.042657536,0.023488505,0.019846939941784155,0.08863014641408973,0.05423854317793694
118,e1-DVCS1 Hall B,5.75,2.97,0.36500000000000005,-0.44999999999999984,0.2205356,4.101506,0.07635267,0.10181432,0.0643559199591972,0.24467614866096396,0.1545160343100806
125,e1-DVCS1 Hall B,5.75,3.18,0.4000000000000001,-0.33999999999999997,-0.0075808614,3.7768657,0.18120527,0.23951438,0.07810611217422482,0.04589936830162992,0.06200274023792737
126,e1-DVCS1 Hall B,5.75,3.18,0.40000000000000013,-0.44999999999999984,-0.013443679,3.285642,0.15983808,0.17469496,0.09495698510519063,0.07148887428130182,0.08322292969324623
138,E00-110 Hall A,5.7572,1.82,0.343,-0.17200000000000001,-0.8857043,4.9150147,0.02066125,0.019492064,0.8051262704302838,0.28023201424780847,0.5426791423390461
139,E00-110 Hall A,5.7572,1.933,0.36800000000000005,-0.232,-1.0487568,4.558069,0.008246039,0.009059878,1.0772193336789222,0.2540524969136409,0.6656359152962815
140,E00-110 Hall A,5.7572,1.9639999999999997,0.375,-0.278,-1.0783547,4.283202,0.05299585,0.014977421,0.9832252482095588,0.35421419613743454,0.6687197221734966
141,E00-110 Hall A,5.7572,1.986,0.379,-0.323,-0.63961697,4.167299,0.0713797,0.012105839,0.7495370817908388,0.43724003067998973,0.5933885562354142
142,E00-110 Hall A,5.7572,1.9989999999999999,0.381,-0.371,-0.07450323,4.225514,0.09665286,0.012213894,0.5066878729469318,0.44678717847079596,0.4767375257088639
143,E00-110 Hall A,5.7572,2.012,0.37799999999999995,-0.19200000000000003,-0.33166105,4.824013,0.044656955,0.032400504,0.04561043568110934,0.1305100872998374,0.08806026149047337
144,E00-110 Hall A,5.7572,2.054,0.39200000000000007,-0.233,-0.9043933,4.5586677,0.04019652,0.01629433,0.20720402716792144,0.12883602329799768,0.16802002523295956
145,E00-110 Hall A,5.7572,2.074,0.39799999999999996,-0.279,-1.3550729,4.2274113,0.0819179,0.037834596,0.2921901742033692,0.0854914152899985,0.18884079474668383
146,E00-110 Hall A,5.7572,2.084,0.4000000000000001,-0.324,-1.0372368,4.055161,0.047842685,0.015765002,0.30329629310793893,0.16893232294877772,0.2361143080283583
147,E00-110 Hall A,5.7572,2.091,0.401,-0.371,-0.31819534,4.056643,0.07549123,0.033637714,0.2595149615746466,0.24369411510433267,0.25160453833948965
148,E00-110 Hall A,5.7572,2.161,0.336,-0.171,-1.3684587,4.568411,0.01515342,0.02324177,0.25429168959361587,0.06065206556756955,0.15747187758059272
149,E00-110 Hall A,5.7572,2.19,0.342,-0.231,-1.2394058,4.47801,0.08060117,0.034575347,0.27119886247579045,0.1723818373641952,0.22179034991999283
150,E00-110 Hall A,5.757199999999999,2.1910000000000003,0.34199999999999997,-0.32399999999999995,-0.96788037,4.006231,0.14055288,0.05325312,0.23694464290093756,0.24391906076563688,0.24043185183328722
151,E00-110 Hall A,5.757199999999999,2.1929999999999996,0.34199999999999997,-0.3710000000000001,-0.68275046,3.8648348,0.2705151,0.10197365,0.23324152715660834,0.23654376196847343,0.2348926445625409
152,E00-110 Hall A,5.757199999999999,2.1940000000000004,0.343,-0.27800000000000014,-0.9504883,4.175073,0.03762831,0.012519574,0.24232593123153964,0.27830015946917913,0.2603130453503594
153,E00-110 Hall A,5.7572,2.218,0.345,-0.17600000000000002,-1.218353,4.873381,0.021026818,0.014681811,0.4036530875033244,0.11082012598080397,0.25723660674206417
154,E00-110 Hall A,5.7572,2.318,0.363,-0.232,-1.3428962,4.9436445,0.023911279,0.011106115,0.6727974708077102,0.5177532642853478,0.595275367546529
155,E00-110 Hall A,5.7572,2.348,0.36800000000000005,-0.279,-1.3148593,4.4652257,0.051970974,0.00807409,0.475009862357143,0.5708460750160764,0.5229279686866097
156,E00-110 Hall A,5.7572,2.36,0.371,-0.325,-1.148481,4.0722857,0.032383166,0.020541359,0.44639135832205756,0.44551305910023836,0.44595220871114793
157,E00-110 Hall A,5.7572,2.375,0.373,-0.37200000000000005,-0.8201368,3.9887757,0.050448045,0.022450762,0.3487009967709775,0.5122546531175961,0.43047782494428677
163,e1-DVCS2 Hall B,5.879999999999999,1.1302999999999999,0.125,-0.4465,-2.3156357,1.8374527,0.0057318383,0.03384444,0.38619508744636516,0.15643411500780702,0.27131460122708606
164,e1-DVCS2 Hall B,5.879999999999999,1.1308,0.1251,-0.6041,-1.441358,0.92256,0.00991073,0.023171814,0.5796121988405163,0.07340141241826265,0.3265068056293895
165,e1-DVCS2 Hall B,5.879999999999999,1.1311428571428568,0.12528571428571428,-0.8628571428571428,-0.6345502,0.25397825,0.008307453,0.019335616,0.41959010683101927,0.025753240107287037,0.22267167346915315
167,e1-DVCS2 Hall B,5.879999999999999,1.3003684210526316,0.15410526315789472,-0.10821052631578948,-2.265159,6.4109535,0.07526238,0.021450924,1.0038746942389234,0.07172001520448687,0.5377973547217051
