set,experiment,n_common,k,q_squared,x_b,t,xsec_surrogate_chi2,diff_surrogate_chi2,max_phi_gap_deg,both_phi_signs,interpolation_selected,interpolation_exclusion_reason,local_bkm_chi2,local_bkm_chi2_xsec,local_bkm_chi2_diff,local_jac_condition,extraction_selected,extraction_exclusion_reason
1,E07-007 Hall A,12,5.55,1.51,0.359,-0.17999999999999997,0.436770154003965,0.8306585449262722,30.000000000000018,True,True,,1.4198422837729776,0.8419149494273079,1.9977696181186477,2.7057420308805247,True,
2,E07-007 Hall A,12,5.55,1.51,0.359,-0.23700000000000002,1.1985811380884501,0.3077358763406215,30.000000000000018,True,True,,1.9565604750391958,2.2003894697958972,1.7127314802824942,2.412567591062282,True,
3,E07-007 Hall A,12,5.55,1.5199999999999998,0.36099999999999993,-0.298,0.922204927413774,0.3129446389295286,30.000000000000018,True,True,,1.9282006349671381,2.3973138751239067,1.4590873948103689,2.753705077668964,True,
4,E07-007 Hall A,24,5.55,1.74,0.359,-0.18299999999999997,1.1694930942444397,0.6519146387420284,15.000000000000009,True,True,,1.9829513940284074,1.0211403995812447,2.9447623884755694,2.306337484740171,True,
5,E07-007 Hall A,24,5.55,1.74,0.359,-0.242,0.5636806648883206,0.47032431157791654,15.000000000000009,True,True,,2.8825144446720827,2.8097173555476105,2.9553115337965554,2.111956126296028,False,H_dominance_BKM_closure
6,E07-007 Hall A,24,5.55,1.74,0.359,-0.302,0.8129437271426978,0.39803881095260624,15.000000000000009,True,True,,3.7167247647835446,4.1602576200153,3.2731919095517887,2.376849205936554,False,H_dominance_BKM_closure
7,E07-007 Hall A,24,5.55,1.75,0.361,-0.363,1.6611965849348724,0.4112511007411242,15.000000000000009,True,True,,3.74512057608553,4.37345082387579,3.11679032829527,2.7294919445321875,False,H_dominance_BKM_closure
8,E07-007 Hall A,24,5.55,1.9799999999999998,0.357,-0.18200000000000002,0.6775751690905016,0.46288364864622905,15.000000000000009,True,True,,0.35894823045009394,0.2663644968091306,0.4515319640910573,1.9138223299472463,True,
9,E07-007 Hall A,24,5.55,1.9799999999999998,0.35600000000000004,-0.242,0.5122679303675935,1.056466318155628,15.000000000000009,True,True,,0.6754198590699212,0.7800821166608595,0.5707576014789829,1.7823999523310627,True,
10,E07-007 Hall A,24,5.55,1.9799999999999998,0.35600000000000004,-0.302,1.3372833499385,0.4623622149275403,15.000000000000009,True,True,,0.9733630808420037,1.1462375046657665,0.8004886570182407,2.1119381525805307,True,
11,E07-007 Hall A,24,5.55,1.99,0.35799999999999993,-0.363,0.699566474795344,0.44997523468272566,15.000000000000009,True,True,,1.1783480310684231,1.3337809149418087,1.0229151471950373,2.426574081269239,True,
12,E07-007 Hall A,12,3.354999999999999,1.49,0.35700000000000004,-0.17700000000000002,0.3422708070736376,0.5609114457990101,30.000000000000018,True,True,,2.947614283429836,2.7646638678911533,3.13056469896852,1.3605302446331209,False,H_dominance_BKM_closure
13,E07-007 Hall A,12,3.354999999999999,1.5,0.359,-0.2359999999999999,0.8371185346068378,0.3518602338990405,30.000000000000018,True,True,,2.623997378687421,4.826402127003696,0.42159263037114597,1.6862962981685015,False,H_dominance_BKM_closure
14,E07-007 Hall A,10,3.3549999999999995,1.5,0.36,-0.29599999999999993,0.2177200004984457,0.3425453750133844,90.0,True,False,too_few_common_phi_points,,,,,False,
15,E07-007 Hall A,24,4.455,1.74,0.357,-0.18099999999999997,0.5820960972435064,0.6973815021603,15.000000000000009,True,True,,1.665243005746358,0.9197200849325364,2.4107659265601793,1.782144042892744,True,
16,E07-007 Hall A,24,4.455,1.74,0.357,-0.24,1.1704424911467768,0.5283990056341021,15.000000000000009,True,True,,2.7599437941180565,2.247387645085158,3.2724999431509545,1.8637570023112187,False,H_dominance_BKM_closure
17,E07-007 Hall A,24,4.455,1.74,0.35799999999999993,-0.301,0.6934784084408401,0.6833745369947465,15.000000000000009,True,True,,2.794295097926805,2.979945972168815,2.608644223684795,2.1233003342984267,False,H_dominance_BKM_closure
18,E07-007 Hall A,24,4.455,1.76,0.361,-0.363,0.9402845873786504,0.4459072692898067,15.000000000000009,True,True,,2.802862171433499,3.104754185731521,2.500970157135477,2.394731764611367,False,H_dominance_BKM_closure
23,e1-DVCS1 Hall B,16,5.75,1.11,0.126,-0.11,1.8594784246053133,1.4641852801922266,136.65999999999997,True,False,angular_gap_too_large,,,,,False,
24,e1-DVCS1 Hall B,16,5.75,1.11,0.126,-0.15,0.8982731437815665,0.8659004156427799,136.24000000000004,True,False,angular_gap_too_large,,,,,False,
25,e1-DVCS1 Hall B,16,5.75,1.11,0.126,-0.2,1.0787980720999286,0.7392419589130297,135.06,True,False,angular_gap_too_large,,,,,False,
26,e1-DVCS1 Hall B,18,5.75,1.11,0.126,-0.26,0.5830701433268273,0.8930803451105963,110.82000000000002,True,False,angular_gap_too_large,,,,,False,
27,e1-DVCS1 Hall B,18,5.75,1.11,0.126,-0.34,0.6971454630689199,1.037548034209089,106.52,True,False,angular_gap_too_large,,,,,False,
28,e1-DVCS1 Hall B,19,5.75,1.11,0.12599999999999997,-0.44999999999999996,0.8571280685918806,1.0186087774320403,93.38999999999999,True,False,angular_gap_too_large,,,,,False,
29,e1-DVCS1 Hall B,20,5.75,1.27,0.15399999999999997,-0.11000000000000001,0.5292180090756532,1.0162403052517852,78.98000000000002,True,True,,0.13727811383596816,0.2421594425227979,0.03239678514913846,1.4227838273091538,True,
30,e1-DVCS1 Hall B,18,5.75,1.27,0.154,-0.15,0.6322785606717862,0.6281508317396581,106.36,True,False,angular_gap_too_large,,,,,False,
31,e1-DVCS1 Hall B,18,5.75,1.27,0.154,-0.20000000000000004,0.6392068089113407,1.0312529449771553,106.05999999999997,True,False,angular_gap_too_large,,,,,False,
32,e1-DVCS1 Hall B,18,5.75,1.27,0.154,-0.26,0.7180554595170535,1.0343638693732493,104.77999999999997,True,False,angular_gap_too_large,,,,,False,
33,e1-DVCS1 Hall B,18,5.75,1.27,0.154,-0.34,1.1095453656809453,1.3645549366071275,103.60000000000002,True,False,angular_gap_too_large,,,,,False,
34,e1-DVCS1 Hall B,20,5.75,1.27,0.15399999999999997,-0.4499999999999999,1.024484105773836,0.471235296011238,82.17999999999998,True,True,,0.5258770256820143,1.0027343665361452,0.04901968482788317,2.8171358369160298,True,
35,e1-DVCS1 Hall B,16,5.75,1.39,0.155,-0.11,0.977188859713735,0.974952651171791,136.82000000000005,True,False,angular_gap_too_large,,,,,False,
36,e1-DVCS1 Hall B,16,5.75,1.39,0.155,-0.15,0.7476597588846008,0.38908049669581696,136.12,True,False,angular_gap_too_large,,,,,False,
37,e1-DVCS1 Hall B,16,5.75,1.39,0.155,-0.2,0.5198489363335308,1.1835362495132107,134.64,True,False,angular_gap_too_large,,,,,False,
38,e1-DVCS1 Hall B,16,5.75,1.39,0.155,-0.26,1.1822447377947631,1.260617214578719,133.84000000000003,True,False,angular_gap_too_large,,,,,False,
39,e1-DVCS1 Hall B,18,5.75,1.39,0.15499999999999997,-0.34,0.6647755455846246,1.2567096338825323,108.15999999999998,True,False,angular_gap_too_large,,,,,False,
