set,experiment,n_common,k,q_squared,x_b,t,xsec_surrogate_chi2,diff_surrogate_chi2,max_phi_gap_deg,both_phi_signs,interpolation_selected,interpolation_exclusion_reason,local_bkm_chi2,local_bkm_chi2_xsec,local_bkm_chi2_diff,local_jac_condition,extraction_selected,extraction_exclusion_reason
40,e1-DVCS1 Hall B,18,5.75,1.39,0.15499999999999997,-0.44999999999999996,0.7364952107882333,1.2235300963927989,103.94000000000003,True,False,angular_gap_too_large,,,,,False,
41,e1-DVCS1 Hall B,24,5.75,1.45,0.18400000000000002,-0.11,0.5614436108573243,0.7297642328498748,15.70000000000001,True,True,,0.06673864164804715,0.042159332555670094,0.09131795074042419,1.4325089523950467,True,
42,e1-DVCS1 Hall B,22,5.75,1.4499999999999997,0.18400000000000005,-0.14999999999999997,1.070062955744157,1.1750748772204451,48.539999999999985,True,True,,0.08169613638171068,0.05798492123384531,0.10540735152957605,1.7037310676496882,True,
43,e1-DVCS1 Hall B,20,5.75,1.4499999999999997,0.18400000000000002,-0.20000000000000004,0.8484192153339706,1.0220624748183145,77.84000000000003,True,True,,0.1157947009544356,0.13178932790436146,0.09980007400450981,1.7672509231053304,True,
44,e1-DVCS1 Hall B,20,5.75,1.4499999999999997,0.18400000000000002,-0.25999999999999995,0.7133016483839497,0.9096552282395036,79.65999999999997,True,True,,0.22100414127742035,0.3222490535293851,0.11975922902545558,2.117616160873379,True,
45,e1-DVCS1 Hall B,20,5.75,1.4499999999999997,0.18400000000000002,-0.33999999999999997,1.8021202211032523,1.5301738678565275,80.82000000000002,True,True,,0.45093747985535704,0.7951124207898935,0.10676253892082048,2.3710070838557393,True,
46,e1-DVCS1 Hall B,17,5.75,1.45,0.184,-0.45,0.8477725886532815,1.4568205779593122,79.38,True,True,,0.9051469488063862,1.6960368195336804,0.11425707807909219,2.3304146692414487,True,
47,e1-DVCS1 Hall B,18,5.75,1.62,0.185,-0.11000000000000001,0.5870853188489292,0.49736458276230977,106.27999999999997,True,False,angular_gap_too_large,,,,,False,
48,e1-DVCS1 Hall B,18,5.75,1.63,0.185,-0.15,0.9922522745247809,0.5003045559598305,107.13999999999999,True,False,angular_gap_too_large,,,,,False,
49,e1-DVCS1 Hall B,18,5.75,1.63,0.185,-0.20000000000000004,0.629866243911268,0.6187495844523792,108.05999999999999,True,False,angular_gap_too_large,,,,,False,
50,e1-DVCS1 Hall B,18,5.75,1.63,0.185,-0.26,0.6475525857483349,1.1450487397376292,107.51999999999998,True,False,angular_gap_too_large,,,,,False,
51,e1-DVCS1 Hall B,18,5.75,1.63,0.185,-0.34,0.8061443223461069,1.3034693179527361,106.10000000000002,True,False,angular_gap_too_large,,,,,False,
52,e1-DVCS1 Hall B,18,5.75,1.63,0.185,-0.44999999999999996,0.9414904677676716,0.5574975690958293,103.88,True,False,angular_gap_too_large,,,,,False,
53,e1-DVCS1 Hall B,24,5.75,1.64,0.214,-0.11,1.1898691872425724,0.9994972973126788,15.079999999999927,True,True,,0.1658466343695175,0.1769980640934561,0.15469520464557884,1.3058779126162083,True,
54,e1-DVCS1 Hall B,24,5.75,1.64,0.214,-0.15,0.9751560849084647,0.4373907064997245,15.420000000000039,True,True,,0.1200746661274887,0.049730927113022565,0.19041840514195485,1.547546665638457,True,
55,e1-DVCS1 Hall B,24,5.75,1.64,0.214,-0.20000000000000004,0.7666951046140097,0.7264654052977759,16.519999999999975,True,True,,0.18891533730342472,0.20070233216751476,0.1771283424393347,1.7832302512455442,True,
56,e1-DVCS1 Hall B,22,5.75,1.64,0.21400000000000005,-0.25999999999999995,0.8967557703474287,0.6142149249882277,50.380000000000045,True,True,,0.2805258357135194,0.33690098208658353,0.22415068934045534,2.0730876830361376,True,
57,e1-DVCS1 Hall B,19,5.75,1.64,0.214,-0.34,0.2949182694836202,1.0267507742124027,75.94000000000004,True,True,,0.47105486495302734,0.7327656332032513,0.2093440967028037,2.173066713058111,True,
58,e1-DVCS1 Hall B,15,5.75,1.6400000000000001,0.214,-0.45000000000000007,1.0531872994658316,1.5365305283377102,90.47999999999998,True,False,angular_gap_too_large,,,,,False,
59,e1-DVCS1 Hall B,21,5.75,1.8800000000000001,0.215,-0.11,1.458371252982487,0.8319023135648723,46.32000000000007,True,True,,0.10535415533766362,0.14594351416002083,0.06476479651530642,1.7702924082444316,True,
60,e1-DVCS1 Hall B,20,5.75,1.8800000000000001,0.215,-0.14999999999999997,0.5570198060716456,0.7188460759199102,77.96000000000001,True,True,,0.1915543755901563,0.30481909805493496,0.07828965312537768,1.5922330397005946,True,
61,e1-DVCS1 Hall B,18,5.75,1.88,0.21499999999999997,-0.20000000000000004,0.6359416416286648,1.0805465411979442,106.27999999999997,True,False,angular_gap_too_large,,,,,False,
62,e1-DVCS1 Hall B,18,5.75,1.88,0.21499999999999997,-0.26,0.4543628692950661,0.45558801350883765,106.10000000000002,True,False,angular_gap_too_large,,,,,False,
63,e1-DVCS1 Hall B,18,5.75,1.88,0.21499999999999997,-0.34,0.46565245361341595,0.7370324718568866,105.44000000000001,True,False,angular_gap_too_large,,,,,False,
64,e1-DVCS1 Hall B,19,5.75,1.88,0.215,-0.44999999999999996,0.6431813543449729,1.7155540058618302,94.20000000000002,True,False,angular_gap_too_large,,,,,False,
65,e1-DVCS1 Hall B,19,5.75,1.7899999999999998,0.24399999999999997,-0.11000000000000001,0.9376025982884603,0.6536832918425672,90.36000000000003,True,False,angular_gap_too_large,,,,,False,
66,e1-DVCS1 Hall B,24,5.75,1.79,0.244,-0.15,0.4069907392152003,0.8618407317830296,15.079999999999927,True,True,,0.0798139927858808,0.048494127908585205,0.11113385766317642,1.3646494187437725,True,
67,e1-DVCS1 Hall B,23,5.75,1.7899999999999998,0.24399999999999994,-0.20000000000000007,1.0519596996744425,0.9288402797880642,30.14999999999998,True,True,,0.10420262246991122,0.07048467044784294,0.13792057449197948,1.6509595399182992,True,
68,e1-DVCS1 Hall B,24,5.75,1.79,0.244,-0.26,0.585103224470901,0.965325079379132,15.880000000000049,True,True,,0.20753646729584094,0.24461155411515537,0.17046138047652648,1.7348337985479871,True,
69,e1-DVCS1 Hall B,19,5.75,1.7999999999999998,0.24399999999999997,-0.34,0.805409759114899,0.8077168444299682,48.420000000000044,True,True,,0.40680215394036096,0.6052109307549587,0.2083933771257632,2.1013588591993906,True,
70,e1-DVCS1 Hall B,13,5.75,1.8000000000000003,0.2439999999999999,-0.45000000000000007,0.708316371818058,1.2350975651524534,120.63999999999997,True,False,angular_gap_too_large,,,,,False,
71,e1-DVCS1 Hall B,24,5.75,2.12,0.244,-0.11,1.5584292408000484,0.7425937028606829,15.079999999999956,True,True,,1.4835731590557941,2.853986819914842,0.1131594981967466,1.3723540842767126,True,
72,e1-DVCS1 Hall B,24,5.75,2.12,0.245,-0.15,0.8377166268881298,1.0588012597797167,15.340000000000055,True,True,,0.12369129452291146,0.17043653975152276,0.07694604929430014,1.659386475855753,True,
73,e1-DVCS1 Hall B,20,5.75,2.1199999999999997,0.24500000000000002,-0.20000000000000004,0.5683886480926316,0.8109609375295725,76.34000000000003,True,True,,0.25951340590558464,0.37426995226057047,0.1447568595505989,2.014180346025426,True,
74,e1-DVCS1 Hall B,20,5.75,2.1199999999999997,0.24500000000000002,-0.25999999999999995,0.32216089600020464,1.347365102259243,77.74000000000001,True,True,,0.43048872955615175,0.6658129361060774,0.19516452300622622,2.0475829283485543,True,
75,e1-DVCS1 Hall B,20,5.75,2.1199999999999997,0.24500000000000002,-0.33999999999999997,0.8068276344120227,0.5219954499701464,79.98000000000002,True,True,,0.3875983544535605,0.6061219762649819,0.1690747326421393,2.1459190868085587,True,
76,e1-DVCS1 Hall B,19,5.75,2.1199999999999997,0.24500000000000002,-0.44999999999999996,0.8219859177506477,1.4593093872686536,92.60999999999999,True,False,angular_gap_too_large,,,,,False,
77,e1-DVCS1 Hall B,14,5.75,1.9400000000000006,0.274,-0.11000000000000003,1.5221695925489882,0.7946785671991438,165.44000000000005,True,False,angular_gap_too_large,,,,,False,
78,e1-DVCS1 Hall B,16,5.75,1.94,0.274,-0.15,0.5373192605719304,1.2556017904375851,135.51999999999992,True,False,angular_gap_too_large,,,,,False,
79,e1-DVCS1 Hall B,22,5.75,1.9399999999999993,0.274,-0.20000000000000007,0.7886819836139961,0.9397762267060416,30.14999999999998,True,True,,0.029402582117871653,0.011295144401419576,0.04751001983432372,1.2446904365411187,True,
80,e1-DVCS1 Hall B,19,5.75,1.9399999999999995,0.274,-0.25999999999999995,0.6969378777706522,0.5450673126244358,90.44000000000003,True,False,angular_gap_too_large,,,,,False,
81,e1-DVCS1 Hall B,18,5.75,1.9399999999999997,0.2750000000000001,-0.34,0.7511936786050405,0.5661509784423514,105.51999999999998,True,False,angular_gap_too_large,,,,,False,
82,e1-DVCS1 Hall B,14,5.75,1.9400000000000006,0.27499999999999997,-0.45000000000000007,0.7650827390431811,0.5968655332532773,135.72,True,False,angular_gap_too_large,,,,,False,
83,e1-DVCS1 Hall B,13,5.75,2.3500000000000005,0.274,-0.11000000000000003,2.92750228515088,0.8727818090598789,180.40999999999997,True,False,angular_gap_too_large;xsec_surrogate_closure,,,,,False,
84,e1-DVCS1 Hall B,16,5.75,2.35,0.275,-0.15,2.8725201196954977,1.52023276687013,135.48000000000002,True,False,angular_gap_too_large;xsec_surrogate_closure,,,,,False,
85,e1-DVCS1 Hall B,23,5.75,2.3500000000000005,0.27500000000000013,-0.20000000000000007,0.8968075963998835,0.7825141945852173,30.119999999999983,True,True,,0.06050989755984975,0.03997264347417988,0.08104715164551961,1.7021648105964584,True,
86,e1-DVCS1 Hall B,22,5.75,2.3500000000000005,0.27500000000000013,-0.25999999999999995,0.47644461775134983,0.835828573067537,46.63999999999992,True,True,,0.16546570825677398,0.1619479010452292,0.1689835154683188,2.44172717847026,True,
87,e1-DVCS1 Hall B,20,5.75,2.3500000000000005,0.2750000000000001,-0.33999999999999997,0.9017414259226536,0.7446959625249614,76.32000000000002,True,True,,0.16678196128791256,0.1768167268261778,0.15674719574964732,2.169401039687242,True,
88,e1-DVCS1 Hall B,20,5.75,2.3500000000000005,0.2750000000000001,-0.4499999999999999,0.6431464528923285,1.635398855933489,77.60000000000002,True,True,,0.24585929747084587,0.37288986682693614,0.1188287281147556,2.3490730489452867,True,
89,e1-DVCS1 Hall B,8,5.75,2.08,0.301,-0.12,0.32152393935345447,0.385416240627794,255.26,True,False,too_few_common_phi_points;angular_gap_too_large,,,,,False,
90,e1-DVCS1 Hall B,12,5.75,2.1000000000000005,0.30399999999999994,-0.14999999999999997,0.29568813717375403,0.8314328266275594,195.51999999999995,True,False,angular_gap_too_large,,,,,False,
91,e1-DVCS1 Hall B,21,5.75,2.1000000000000005,0.30400000000000005,-0.20000000000000004,0.2608682158334605,0.6391510243751767,45.20000000000004,True,True,,0.01596732001829217,0.001761478809619632,0.030173161226964715,1.122571023179247,True,
92,e1-DVCS1 Hall B,17,5.75,2.1,0.304,-0.26,1.07580742170335,0.3485774005057798,120.53999999999998,True,False,angular_gap_too_large,,,,,False,
93,e1-DVCS1 Hall B,15,5.75,2.1000000000000005,0.304,-0.33999999999999997,0.5860100218383184,0.8156137068933363,150.70999999999998,True,False,angular_gap_too_large,,,,,False,
94,e1-DVCS1 Hall B,14,5.75,2.1000000000000005,0.30500000000000005,-0.45000000000000007,0.9016310686154166,1.100186867588782,165.84000000000003,True,False,angular_gap_too_large,,,,,False,
95,e1-DVCS1 Hall B,2,5.75,2.56,0.301,-0.12,0.2193593901262178,0.24383270891818312,345.03000000000003,False,False,too_few_common_phi_points;does_not_cover_both_phi_signs;angular_gap_too_large,,,,,False,
96,e1-DVCS1 Hall B,12,5.75,2.5799999999999996,0.30399999999999994,-0.14999999999999997,3.8549321262824496,0.6428977939216107,195.49999999999997,True,False,angular_gap_too_large;xsec_surrogate_closure,,,,,False,
97,e1-DVCS1 Hall B,24,5.75,2.58,0.304,-0.20000000000000004,0.7476588376181134,1.0101980456610031,15.060000000000056,True,True,,0.2880859369754123,0.48860352694048087,0.0875683470103437,1.270510951943175,True,
98,e1-DVCS1 Hall B,24,5.75,2.58,0.305,-0.26,0.5041761604935692,1.2113801118665501,15.360000000000069,True,True,,0.06229611582643394,0.028940999040785547,0.09565123261208235,1.776893454958704,True,
99,e1-DVCS1 Hall B,22,5.75,2.5799999999999996,0.30499999999999994,-0.33999999999999997,0.6664728391605534,0.8661816831315232,46.98000000000001,True,True,,0.11804757268036453,0.10104576050475739,0.13504938485597173,2.3791191162093295,True,
100,e1-DVCS1 Hall B,20,5.75,2.5799999999999996,0.30499999999999994,-0.4499999999999999,0.815961634079591,1.0189387984066645,76.36000000000003,True,True,,0.09571458701567898,0.09081699056964425,0.1006121834617137,2.2029084790846207,True,
101,e1-DVCS1 Hall B,8,5.75,2.22,0.333,-0.16,0.703965363795808,0.9331580195978086,255.32,True,False,too_few_common_phi_points;angular_gap_too_large,,,,,False,
102,e1-DVCS1 Hall B,16,5.75,2.23,0.335,-0.2,0.9068345149219662,1.7083768942746522,120.43999999999998,True,False,angular_gap_too_large,,,,,False,
103,e1-DVCS1 Hall B,15,5.75,2.23,0.335,-0.2599999999999999,0.5862359268257414,0.7574934906242791,120.49000000000004,True,False,angular_gap_too_large,,,,,False,
104,e1-DVCS1 Hall B,12,5.75,2.23,0.335,-0.34,0.3655197788121732,1.379822791244495,195.84000000000003,True,False,angular_gap_too_large,,,,,False,
105,e1-DVCS1 Hall B,13,5.75,2.23,0.335,-0.45000000000000007,0.8759617319129547,1.019911518364748,180.88,True,False,angular_gap_too_large,,,,,False,
106,e1-DVCS1 Hall B,4,5.75,2.77,0.333,-0.16,1.1501822093175451,0.8130285472647287,300.2099999999999,True,False,too_few_common_phi_points;angular_gap_too_large,,,,,False,
107,e1-DVCS1 Hall B,24,5.75,2.78,0.335,-0.20000000000000004,0.7838291202621207,0.7869668705846641,15.06000000000008,True,True,,0.1913957126815744,0.3431552045719193,0.039636220791229575,1.1161458411173524,True,
108,e1-DVCS1 Hall B,24,5.75,2.78,0.335,-0.26,0.5074906738684463,0.9271007484521036,15.200000000000012,True,True,,0.03249420737268711,0.005533597627507172,0.05945481711786705,1.3820558100873515,True,
109,e1-DVCS1 Hall B,24,5.75,2.78,0.335,-0.34,0.5059380135744419,0.8265591548537675,15.440000000000026,True,True,,0.06337536872420994,0.04503512065570412,0.08171561679271577,1.6196850675462968,True,
110,e1-DVCS1 Hall B,22,5.75,2.7800000000000002,0.335,-0.44999999999999984,0.254061072919809,1.2407226459518326,46.86000000000007,True,True,,0.1080642079687331,0.09277122605076671,0.12335718988669947,2.39100232623554,True,
111,e1-DVCS1 Hall B,15,5.75,2.3500000000000005,0.3650000000000001,-0.20000000000000007,0.7340669134869703,0.7112092278824298,150.38,True,False,angular_gap_too_large,,,,,False,
112,e1-DVCS1 Hall B,15,5.75,2.3500000000000005,0.3650000000000001,-0.2599999999999999,0.6568052878777515,0.5315329245119893,150.52,True,False,angular_gap_too_large,,,,,False,
113,e1-DVCS1 Hall B,13,5.75,2.3500000000000005,0.3650000000000001,-0.33999999999999997,0.5928520529589737,0.7516762492510515,180.71,True,False,angular_gap_too_large,,,,,False,
114,e1-DVCS1 Hall B,11,5.75,2.3500000000000005,0.36500000000000005,-0.45,1.0981582688194997,1.1684761510651358,210.94999999999996,True,False,too_few_common_phi_points;angular_gap_too_large,,,,,False,
115,e1-DVCS1 Hall B,17,5.75,2.97,0.364,-0.2,0.9403163701585202,0.507136741168379,120.28999999999995,True,False,angular_gap_too_large,,,,,False,
116,e1-DVCS1 Hall B,20,5.75,2.9699999999999998,0.36500000000000005,-0.25999999999999995,0.6359183601108672,0.9383682087735256,60.199999999999996,True,True,,0.016661701062934374,0.01989070347859103,0.013432698647277716,1.2241092068278359,True,
117,e1-DVCS1 Hall B,24,5.75,2.97,0.365,-0.34,0.6207504772550302,1.0484937847643871,15.060000000000056,True,True,,0.04031528380611853,0.01907619672931223,0.061554370882924835,1.5271313220796428,True,
118,e1-DVCS1 Hall B,23,5.75,2.97,0.36500000000000005,-0.44999999999999984,0.7547405393194325,1.3316969171141044,30.139999999999983,True,True,,0.09146485335089624,0.08094634672667701,0.10198335997511547,1.7049013921473595,True,
119,e1-DVCS1 Hall B,7,5.75,2.44,0.39300000000000007,-0.21,0.2610970872671744,0.7532533362487196,255.22,True,False,too_few_common_phi_points;angular_gap_too_large,,,,,False,
120,e1-DVCS1 Hall B,12,5.75,2.48,0.4000000000000001,-0.25999999999999995,0.41144221063703595,1.1533515182489054,195.44,True,False,angular_gap_too_large,,,,,False,
121,e1-DVCS1 Hall B,11,5.75,2.48,0.399,-0.33999999999999997,1.1428205432964609,1.1906584315273687,210.66,True,False,too_few_common_phi_points;angular_gap_too_large,,,,,False,
122,e1-DVCS1 Hall B,10,5.75,2.48,0.399,-0.45,0.18282074492811698,0.6595994871456914,225.88,True,False,too_few_common_phi_points;angular_gap_too_large,,,,,False,
123,e1-DVCS1 Hall B,11,5.75,3.12,0.391,-0.21,0.5244158326970235,1.392691344779197,210.22000000000003,True,False,too_few_common_phi_points;angular_gap_too_large,,,,,False,
124,e1-DVCS1 Hall B,16,5.75,3.18,0.399,-0.26,0.6563246170336726,0.7469254726915735,135.32,True,False,angular_gap_too_large,,,,,False,
125,e1-DVCS1 Hall B,21,5.75,3.18,0.4000000000000001,-0.33999999999999997,0.44951212586892664,0.9582603004840002,45.13999999999999,True,True,,0.04226446830912729,0.04987752571896637,0.034651410899288214,1.2432292650423435,True,
126,e1-DVCS1 Hall B,22,5.75,3.18,0.40000000000000013,-0.44999999999999984,0.45571961147851087,0.880062641029883,30.129999999999985,True,True,,0.07661348425252837,0.06954599924959261,0.08368096925546417,1.4053414682197847,True,
127,e1-DVCS1 Hall B,9,5.75,2.81,0.433,-0.27,1.4611330267338873,0.6507684135340901,225.23,True,False,too_few_common_phi_points;angular_gap_too_large,,,,,False,
128,e1-DVCS1 Hall B,10,5.75,2.96,0.449,-0.33999999999999997,1.3740203058138165,0.6745518975022988,195.38999999999996,True,False,too_few_common_phi_points;angular_gap_too_large,,,,,False,
129,e1-DVCS1 Hall B,14,5.75,3.0499999999999994,0.46100000000000013,-0.45000000000000007,1.4871460670820302,0.6553974748573811,165.49999999999997,True,False,angular_gap_too_large,,,,,False,
130,e1-DVCS1 Hall B,12,5.75,3.5,0.42999999999999994,-0.2800000000000001,0.6854720902692519,0.5803276918517716,195.23000000000002,True,False,angular_gap_too_large,,,,,False,
131,e1-DVCS1 Hall B,15,5.75,3.6300000000000012,0.45099999999999985,-0.33999999999999997,0.4986133996476801,0.7513343626450776,150.29999999999993,True,False,angular_gap_too_large,,,,,False,
132,e1-DVCS1 Hall B,16,5.75,3.77,0.475,-0.45,0.8405806807683175,0.6061124180657831,135.33999999999997,True,False,angular_gap_too_large,,,,,False,
138,E00-110 Hall A,24,5.7572,1.82,0.343,-0.17200000000000001,0.8033038325607526,0.35222671689669466,15.000000000000009,True,True,,0.5390717072011343,0.7922192242086249,0.28592419019364373,1.8404919072207142,True,
139,E00-110 Hall A,24,5.7572,1.933,0.36800000000000005,-0.232,0.841428798586059,0.49087353965375896,15.000000000000009,True,True,,0.6549819143451717,1.031047975397003,0.2789158532933404,2.272344163351272,True,
140,E00-110 Hall A,24,5.7572,1.9639999999999997,0.375,-0.278,0.6577741002101382,0.6800347639864818,15.000000000000009,True,True,,0.6640964080260753,0.9723332617577817,0.35585955429436894,2.3579547567599213,True,
141,E00-110 Hall A,24,5.7572,1.986,0.379,-0.323,0.7840853729568072,1.3302313086235333,15.000000000000009,True,True,,0.5904238357743874,0.721107932881815,0.4597397386669598,3.2052799219734536,True,
142,E00-110 Hall A,24,5.7572,1.9989999999999999,0.381,-0.371,1.1216336840210317,0.5373133284804921,15.000000000000009,True,True,,0.4675992577778943,0.4886606127205894,0.4465379028351992,3.7808397019289974,True,
143,E00-110 Hall A,24,5.7572,2.012,0.37799999999999995,-0.19200000000000003,0.44722392774905684,0.7118522374598325,15.000000000000009,True,True,,0.07238295468576245,0.04719199125294506,0.09757391811857984,2.9330956554505443,True,
144,E00-110 Hall A,24,5.7572,2.054,0.39200000000000007,-0.233,0.7151590381458489,0.7205913439805475,15.000000000000009,True,True,,0.16305894550821082,0.18920883274578695,0.1369090582706347,2.2090644540966133,True,
145,E00-110 Hall A,24,5.7572,2.074,0.39799999999999996,-0.279,0.7579897041134718,0.4300600283111338,15.000000000000009,True,True,,0.1871742896019661,0.2942586099441252,0.08008996925980699,1.9730809448359323,True,
