set,experiment,n_common,k,q_squared,x_b,t,xsec_surrogate_chi2,diff_surrogate_chi2,max_phi_gap_deg,both_phi_signs,interpolation_selected,interpolation_exclusion_reason,ReH_local,ImH_local,ReH_local_curvature_err,ImH_local_curvature_err,local_corr_ReH_ImH,local_bkm_chi2,local_bkm_chi2_xsec,local_bkm_chi2_diff,local_jac_condition,extraction_selected
1,E07-007 Hall A,12,5.55,1.51,0.359,-0.17999999999999997,0.436770154003965,0.8306585449262722,30.000000000000018,True,True,,-0.5293718382881565,5.697578162953646,0.3489089407339955,0.17226153658819945,-0.5735692480650857,1.4198422837729776,0.8419149494273079,1.9977696181186477,2.7057420308805247,True
2,E07-007 Hall A,12,5.55,1.51,0.359,-0.23700000000000002,1.1985811380884501,0.3077358763406215,30.000000000000018,True,True,,-0.7284722190423937,5.418295482661805,0.3918072149317766,0.1639280678571239,-0.11439108823335623,1.9565604750391958,2.2003894697958972,1.7127314802824942,2.412567591062282,True
3,E07-007 Hall A,12,5.55,1.5199999999999998,0.36099999999999993,-0.298,0.922204927413774,0.3129446389295286,30.000000000000018,True,True,,-0.07043677227675055,5.2882013548572955,0.4925452045474637,0.18834887889098723,-0.27411448917706843,1.9282006349671381,2.3973138751239067,1.4590873948103689,2.753705077668964,True
4,E07-007 Hall A,24,5.55,1.74,0.359,-0.18299999999999997,1.1694930942444397,0.6519146387420284,15.000000000000009,True,True,,-0.41668115081123,4.959871795294925,0.23751091633612345,0.1377332590364439,-0.5410054075224888,1.9829513940284074,1.0211403995812447,2.9447623884755694,2.306337484740171,True
5,E07-007 Hall A,24,5.55,1.74,0.359,-0.242,0.5636806648883206,0.47032431157791654,15.000000000000009,True,True,,-1.0804586246156926,4.731070839330358,0.2671240194468169,0.12820289143945324,0.12990922898869114,2.8825144446720827,2.8097173555476105,2.9553115337965554,2.111956126296028,False
6,E07-007 Hall A,24,5.55,1.74,0.359,-0.302,0.8129437271426978,0.39803881095260624,15.000000000000009,True,True,,-0.8736105079068458,4.610897647193618,0.32718654196024444,0.14362574475618356,0.23824048525478742,3.7167247647835446,4.1602576200153,3.2731919095517887,2.376849205936554,False
7,E07-007 Hall A,24,5.55,1.75,0.361,-0.363,1.6611965849348724,0.4112511007411242,15.000000000000009,True,True,,-0.021691325561856257,4.6407569761366965,0.38078198122084633,0.14062184101577405,-0.10980195649150291,3.74512057608553,4.37345082387579,3.11679032829527,2.7294919445321875,False
8,E07-007 Hall A,24,5.55,1.9799999999999998,0.357,-0.18200000000000002,0.6775751690905016,0.46288364864622905,15.000000000000009,True,True,,-0.7070353378457002,4.839901929815331,0.15382771872476547,0.09743655237303075,-0.418999373116722,0.35894823045009394,0.2663644968091306,0.4515319640910573,1.9138223299472463,True
9,E07-007 Hall A,24,5.55,1.9799999999999998,0.35600000000000004,-0.242,0.5122679303675935,1.056466318155628,15.000000000000009,True,True,,-1.4013897455856954,4.370122823509954,0.19092367567431084,0.11691493590699185,0.2862521893201458,0.6754198590699212,0.7800821166608595,0.5707576014789829,1.7823999523310627,True
10,E07-007 Hall A,24,5.55,1.9799999999999998,0.35600000000000004,-0.302,1.3372833499385,0.4623622149275403,15.000000000000009,True,True,,-1.322855316514088,4.042916120914952,0.2471896062895584,0.14643383136441873,0.4711748606808069,0.9733630808420037,1.1462375046657665,0.8004886570182407,2.1119381525805307,True
