set,n,chi2_per_point,pull_rms,median_abs_pull,max_abs_pull
1,12,0.436770154003965,0.660885885765436,0.6558867359936646,1.13396487062272
2,12,1.1985811380884501,1.0947973045675854,0.8577071822555362,2.024423875240887
3,12,0.922204927413774,0.9603150146768372,0.6134471530204642,1.8244642777989581
4,24,1.1694930942444397,1.0814310399856477,0.8022339363371235,2.7064419696715443
5,24,0.5636806648883206,0.7507866973304206,0.5909165244292456,1.4044332924685103
6,24,0.8129437271426978,0.9016339208030595,0.5460919630991,1.9378311996345414
7,24,1.6611965849348724,1.2888741540332294,1.0399548522718067,3.1413262461177895
8,24,0.6775751690905016,0.823149542361837,0.6283319025178059,1.458109470890906
9,24,0.5122679303675935,0.7157289503489387,0.3571167034205056,2.279306830140236
10,24,1.3372833499385,1.156409680839148,0.9954641159691973,3.1439264953168147
11,24,0.699566474795344,0.8364009055443113,0.556405851768736,1.7302235704832114
12,12,0.3422708070736376,0.5850391500349679,0.5406397169457414,1.1353732441875168
13,12,0.8371185346068378,0.9149418203398716,0.6640562133813965,1.830049400314758
14,10,0.2177200004984457,0.4666047583324089,0.440147015002261,0.7668580395994508
15,24,0.5820960972435064,0.7629522247451058,0.4595474321988851,1.5263302966889394
16,24,1.1704424911467768,1.0818699049085232,0.7195170381357722,2.299906275937257
17,24,0.6934784084408401,0.8327535100141218,0.6220381901574101,1.6993580844268799
18,24,0.9402845873786504,0.9696827251109769,0.6367750058352024,2.5738091781396037
23,16,1.8594784246053133,1.3636269374742174,0.521144114226656,3.1227185063734995
24,16,0.8982731437815665,0.9477727279161215,0.626017471496455,1.9681850539790957
25,16,1.0787980720999286,1.038652045730392,0.5995953719721596,2.381784161656134
26,18,0.5830701433268273,0.7635902980832242,0.5061906054576742,1.5924137569908674
27,18,0.6971454630689199,0.8349523717368075,0.676845781935109,1.6572923329494735
28,19,0.8571280685918806,0.9258121130077531,0.6175819233150347,2.013829371024369
29,20,0.5292180090756532,0.7274737171029982,0.5077554299445408,1.5770035433251983
30,18,0.6322785606717862,0.7951594561292635,0.5553601906191457,1.4496118310747588
31,18,0.6392068089113407,0.7995041018727426,0.5529603858201357,1.5936067581538333
32,18,0.7180554595170535,0.8473815312579414,0.7618658924803046,1.8531135150775042
33,18,1.1095453656809453,1.0533495932884511,0.5185695081513781,2.3170715202470924
34,20,1.024484105773836,1.012168022501124,0.5480333221728091,2.4190940722124665
35,16,0.977188859713735,0.9885286337348732,0.5961376157704146,2.742935570075224
36,16,0.7476597588846008,0.8646732093019888,0.2561187795716264,1.713871674264545
37,16,0.5198489363335308,0.7210055036776979,0.583916829774239,1.4271302251301818
38,16,1.1822447377947631,1.0873107825248323,0.4371658027401439,2.4951275049339845
39,18,0.6647755455846246,0.8153376880683393,0.557715754093663,1.497097542344691
40,18,0.7364952107882333,0.8581929915748749,0.616025075657198,1.947727620767026
41,24,0.5614436108573243,0.7492954096064678,0.40667301985696636,2.04810176045325
42,22,1.070062955744157,1.0344384736387935,0.6674855601760117,2.266287565778516
43,20,0.8484192153339706,0.9210967459143315,0.6027705124110909,2.098253423380587
44,20,0.7133016483839497,0.8445718728349587,0.6064533848364917,2.0164311242574957
45,20,1.8021202211032523,1.3424307137067641,0.8223777427142583,3.544155185928753
46,17,0.8477725886532815,0.9207456699074297,0.6455387680755176,1.9683990677291578
47,18,0.5870853188489292,0.7662149299308447,0.43390355332307173,2.2248696639684606
48,18,0.9922522745247809,0.9961186046474491,0.493801576638107,2.4306319329808623
49,18,0.629866243911268,0.7936411304306676,0.45837284129747025,1.8133899858428681
50,18,0.6475525857483349,0.804706521502302,0.45519689054624835,1.418571865451881
